Room Name,Address
Nachmieter gesucht!,"Weverstr. 11, 13595 Berlin-Wilhelmstadt"
Nette Nachmieter gesucht !,"Götelstr. 85, 13595 Berlin-Wilhelmstadt"
Nachmieter gesucht!,"Pichelsdorfer Str. 64, 13595 Berlin-Wilhelmstadt"
Nachmieter gesucht!,"Weverstr. 74C, 13595 Berlin-Wilhelmstadt"
"Aufzug, Bad mit Fenster, Balkon! Erstbezug nach Bad-Modernisierung!","Am Gemeindepark 6, 12249 Berlin-Lankwitz"
Kein Balkon - trotzdem fabelhaft!,"Gallwitzallee 112, 12249 Berlin-Lankwitz"
Wo das Leben so spielt - günstige 3-Zimmer-Wohnung,"Rüdigerstr. 11, 10365 Berlin-Lichtenberg"
Stop! Geräumige 3-Zimmer-Wohnung,"Kunzeweg 11, 10367 Berlin-Lichtenberg"
Smarter Wohnen: günstig geschnittene 2-Zimmer-Wohnung,"Bruno-Taut-Ring 4, 12359 Berlin-Britz"
Schöne Wohnung: ansprechende 2-Zimmer-Wohnung,"Goeckestr. 7, 13055 Berlin-Alt-Hohenschönhausen"
