Room Name,Address
Nachmieter gesucht!,"Burbacher Weg 7, 13583 Berlin-Falkenhagener Feld"
Nachmieter gesucht!,"Weverstr. 71D, 13595 Berlin-Wilhelmstadt"
Klein aber saniert,"An der Kappe 73D, 13583 Berlin-Falkenhagener Feld"
Gelegenheit: 2-Zimmer-Wohnung,"Hagenstr. 47, 10365 Berlin-Lichtenberg"
Endlich Zuhause: individuelle 1-Zimmer-Single-Wohnung,"Büchsenweg 14, 13409 Berlin-Reinickendorf"
Ein tolles Wohngefühl: interessante 2-Zimmer-Wohnung,"Goeckestr. 5, 13055 Berlin-Alt-Hohenschönhausen"
Ein tolles Wohngefühl: individuelles 1-Zimmer-Appartment,"Friedastr. 7, 10317 Berlin-Lichtenberg"
EG-Wohnung im Herzen von Neukölln !,"Thomasstr. 67, 12053 Berlin-Neukölln"
Die gefällt mir: 3-Zimmer-Wohnung,"Straße der Pariser Kommune 13, 10243 Berlin-Friedrichshain"
Sanierte und renovierte Wohnung,"Germersheimer Weg 84, 13583 Berlin-Falkenhagener Feld"
